domgi	accession	taxid	taxOrg	nPig	nGi
334050	pfam00385	29760	Vitis vinifera	508	523
334050	pfam00385	4795	Phytophthora megakarya	433	433
334050	pfam00385	69332	Chara braunii	303	303
334050	pfam00385	1108050	Rhizoctonia solani AG-1 IB	300	317
334050	pfam00385	611791	Phytophthora palmivora var. palmivora	229	229
334050	pfam00385	246409	Rhizopus delemar RA 99-880	226	239
334050	pfam00385	9606	Homo sapiens	213	1084
334050	pfam00385	112090	Aphanomyces astaci	211	324
334050	pfam00385	47428	Armillaria ostoyae	211	213
334050	pfam00385	4577	Zea mays	204	291
334050	pfam00385	1714833	Leucoagaricus sp. SymC.cos	190	190
334050	pfam00385	8030	Salmo salar	168	206
334050	pfam00385	8022	Oncorhynchus mykiss	165	184
334050	pfam00385	10090	Mus musculus	156	285
334050	pfam00385	10029	Cricetulus griseus	145	219
334050	pfam00385	221103	Moniliophthora roreri	141	142
334050	pfam00385	796604	Microbotryum silenes-dioicae	137	144
334050	pfam00385	143630	Paroedura picta	132	132
334050	pfam00385	1381753	Moniliophthora roreri MCA 2997	129	136
334050	pfam00385	39947	Oryza sativa Japonica Group	128	172
334050	pfam00385	5580	Aureobasidium pullulans	127	254
334050	pfam00385	7957	Carassius auratus	124	148
334050	pfam00385	167371	Phellinidium pouzarii	119	121
334050	pfam00385	747089	Rhizophagus irregularis DAOM 181602=DAOM 197198	116	147
334050	pfam00385	7962	Cyprinus carpio	114	132
334050	pfam00385	8167	Perca flavescens	113	157
334050	pfam00385	9598	Pan troglodytes	110	170
334050	pfam00385	289078	Microbotryum saponariae	109	154
334050	pfam00385	8355	Xenopus laevis	105	186
334050	pfam00385	8036	Salvelinus alpinus	105	116
334050	pfam00385	113540	Scleropages formosus	97	113
334050	pfam00385	10181	Heterocephalus glaber	97	109
334050	pfam00385	3821	Cajanus cajan	93	101
334050	pfam00385	9601	Pongo abelii	92	181
334050	pfam00385	7955	Danio rerio	92	118
334050	pfam00385	8010	Esox lucius	92	105
334050	pfam00385	10116	Rattus norvegicus	91	139
334050	pfam00385	3469	Papaver somniferum	91	110
334050	pfam00385	1608454	Sinocyclocheilus anshuiensis	91	110
334050	pfam00385	49451	Nicotiana attenuata	91	107
334050	pfam00385	31234	Caenorhabditis remanei	89	142
334050	pfam00385	215358	Larimichthys crocea	89	102
334050	pfam00385	58291	Rhizopus microsporus	88	96
334050	pfam00385	74940	Oncorhynchus tshawytscha	87	114
334050	pfam00385	7227	Drosophila melanogaster	85	219
334050	pfam00385	4792	Phytophthora parasitica	85	113
334050	pfam00385	29078	Eptesicus fuscus	85	90
334050	pfam00385	9913	Bos taurus	83	146
334050	pfam00385	75366	Sinocyclocheilus grahami	83	99
334050	pfam00385	9541	Macaca fascicularis	81	153
334050	pfam00385	9615	Canis lupus familiaris	79	221
334050	pfam00385	307959	Sinocyclocheilus rhinocerous	79	93
334050	pfam00385	8090	Oryzias latipes	79	89
334050	pfam00385	84645	Labeo rohita	79	88
334050	pfam00385	1036808	Scleroderma citrinum Foug A	79	79
334050	pfam00385	30608	Microcebus murinus	78	95
334050	pfam00385	4097	Nicotiana tabacum	77	90
334050	pfam00385	885580	Fukomys damarensis	77	87
334050	pfam00385	109478	Myotis brandtii	76	112
334050	pfam00385	8019	Oncorhynchus kisutch	76	97
334050	pfam00385	29730	Gossypium raimondii	75	121
334050	pfam00385	132908	Pteropus vampyrus	75	101
334050	pfam00385	8496	Alligator mississippiensis	75	87
334050	pfam00385	136370	Umbilicaria pustulata	75	75
334050	pfam00385	280463	Emiliania huxleyi CCMP1516	74	154
334050	pfam00385	9755	Physeter catodon	73	91
334050	pfam00385	139825	Sparassis crispa	72	148
334050	pfam00385	91943	Hortaea werneckii	72	88
334050	pfam00385	1737458	Cebus capucinus imitator	72	86
334050	pfam00385	157072	Aphanomyces invadans	71	128
334050	pfam00385	40151	Monodon monoceros	71	80
334050	pfam00385	1234273	Tachysurus fulvidraco	70	106
334050	pfam00385	9555	Papio anubis	69	113
334050	pfam00385	1676925	Paramormyrops kingsleyae	69	89
334050	pfam00385	906689	Dendrobium catenatum	69	82
334050	pfam00385	57577	Trifolium pratense	69	70
334050	pfam00385	8364	Xenopus tropicalis	68	119
334050	pfam00385	60711	Chlorocebus sabaeus	68	79
334050	pfam00385	9544	Macaca mulatta	67	104
334050	pfam00385	50429	Stylophora pistillata	67	82
334050	pfam00385	127582	Trichechus manatus latirostris	67	82
334050	pfam00385	30732	Oryzias melastigma	66	75
334050	pfam00385	158456	Betta splendens	65	84
334050	pfam00385	441366	Gouania willdenowi	65	74
334050	pfam00385	1890364	Planoprotostelium fungivorum	65	65
334050	pfam00385	9031	Gallus gallus	64	166
334050	pfam00385	1317065	Phytophthora parasitica P1569	64	91
334050	pfam00385	9407	Rousettus aegyptiacus	64	89
334050	pfam00385	3818	Arachis hypogaea	64	85
334050	pfam00385	9823	Sus scrofa	64	84
334050	pfam00385	591936	Piliocolobus tephrosceles	64	77
334050	pfam00385	299321	Denticeps clupeoides	64	75
334050	pfam00385	89462	Bubalus bubalis	63	79
334050	pfam00385	3871	Lupinus angustifolius	63	76
334050	pfam00385	35722	Parasitella parasitica	63	63
334050	pfam00385	1144522	Tritrichomonas foetus	63	63
334050	pfam00385	8839	Anas platyrhynchos	62	109
334050	pfam00385	9749	Delphinapterus leucas	62	104
334050	pfam00385	8478	Chrysemys picta bellii	62	99
334050	pfam00385	48698	Poecilia formosa	62	90
334050	pfam00385	1720309	Exaiptasia pallida	62	74
334050	pfam00385	9669	Mustela putorius furo	62	72
334050	pfam00385	9531	Cercocebus atys	61	99
334050	pfam00385	9258	Ornithorhynchus anatinus	61	78
334050	pfam00385	7994	Astyanax mexicanus	61	73
334050	pfam00385	90247	Lagenorhynchus obliquidens	61	70
334050	pfam00385	9938	Ovis aries musimon	60	115
334050	pfam00385	9704	Zalophus californianus	60	95
334050	pfam00385	210632	Parambassis ranga	60	66
334050	pfam00385	3848	Glycine soja	59	94
334050	pfam00385	9685	Felis catus	59	87
334050	pfam00385	8128	Oreochromis niloticus	59	72
334050	pfam00385	3635	Gossypium hirsutum	59	70
334050	pfam00385	105023	Nothobranchius furzeri	59	62
334050	pfam00385	947166	Ramazzottius varieornatus	59	59
334050	pfam00385	8996	Numida meleagris	58	116
334050	pfam00385	299123	Lonchura striata domestica	58	90
334050	pfam00385	9545	Macaca nemestrina	58	78
334050	pfam00385	64176	Podarcis muralis	58	78
334050	pfam00385	7998	Ictalurus punctatus	58	74
334050	pfam00385	9157	Parus major	58	70
334050	pfam00385	4072	Capsicum annuum	58	63
